Date : 2023-08-19 12:21:56
Directory : c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src
Total : 321 files,  33121 codes, 2483 comments, 3670 blanks, all 39274 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| components\setWorkFlowInDoc\contents                                                                                                                                                                 |          2 |        262 |         37 |         28 |        327 |
| components\setWorkFlowInDoc\customerSupport                                                                                                                                                          |          3 |        227 |          2 |         29 |        258 |
| components\setWorkFlowInDoc\formLayout                                                                                                                                                               |          2 |         51 |          1 |          9 |         61 |
| components\setWorkFlowInDoc\select                                                                                                                                                                   |          2 |         35 |          0 |          4 |         39 |
| components\setWorkFlowInDoc\steps                                                                                                                                                                    |         24 |      2,578 |        153 |        335 |      3,066 |
| components\setWorkFlowInDoc\steps\checkErrors                                                                                                                                                        |          4 |        373 |          1 |         36 |        410 |
| components\setWorkFlowInDoc\steps\checkErrors (Files)                                                                                                                                                |          2 |         85 |          0 |         12 |         97 |
| components\setWorkFlowInDoc\steps\checkErrors\infoTable                                                                                                                                              |          2 |        288 |          1 |         24 |        313 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc                                                                                                                                                |          8 |        927 |         58 |        139 |      1,124 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc (Files)                                                                                                                                        |          2 |        321 |         50 |         45 |        416 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms                                                                                                                                    |          4 |        483 |          1 |         75 |        559 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms                                                                                                                              |          4 |        483 |          1 |         75 |        559 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignDocumentMap                                                                                                            |          1 |         52 |          0 |          7 |         59 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignLocation                                                                                                               |          1 |        126 |          1 |         13 |        140 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignTask                                                                                                                   |          1 |        141 |          0 |         36 |        177 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignTime                                                                                                                   |          1 |        164 |          0 |         19 |        183 |
| components\setWorkFlowInDoc\steps\connectWebflowToDoc\dropdown                                                                                                                                       |          2 |        123 |          7 |         19 |        149 |
| components\setWorkFlowInDoc\steps\processDocument                                                                                                                                                    |          2 |        632 |          4 |         71 |        707 |
| components\setWorkFlowInDoc\steps\selectDoc                                                                                                                                                          |          3 |        174 |          8 |         25 |        207 |
| components\setWorkFlowInDoc\steps\selectWorkflow                                                                                                                                                     |          7 |        472 |         82 |         64 |        618 |
| components\setWorkFlowInDoc\steps\selectWorkflow (Files)                                                                                                                                             |          2 |         47 |          3 |          7 |         57 |
| components\setWorkFlowInDoc\steps\selectWorkflow\workFlowSwiper                                                                                                                                      |          3 |        110 |          7 |         19 |        136 |
| components\setWorkFlowInDoc\steps\selectWorkflow\ınfoBoxes                                                                                                                                           |          2 |        315 |         72 |         38 |        425 |
| components\skeloton                                                                                                                                                                                  |          2 |         45 |          0 |          9 |         54 |
| components\spinner                                                                                                                                                                                   |          2 |        165 |          0 |         17 |        182 |
| components\styledComponents                                                                                                                                                                          |          1 |         31 |          0 |          2 |         33 |
| components\submitButton                                                                                                                                                                              |          2 |         26 |          0 |          6 |         32 |
| components\workflowAiSettings                                                                                                                                                                        |          8 |      2,092 |        192 |        188 |      2,472 |
| components\workflowAiSettings (Files)                                                                                                                                                                |          3 |        852 |        114 |         66 |      1,032 |
| components\workflowAiSettings\enabledDisabkedProcess                                                                                                                                                 |          1 |        402 |          3 |         39 |        444 |
| components\workflowAiSettings\enabledProcess                                                                                                                                                         |          1 |        277 |         53 |         37 |        367 |
| components\workflowAiSettings\teamInWorkflowAi                                                                                                                                                       |          1 |        473 |         22 |         39 |        534 |
| components\workflowAiSettings\themes                                                                                                                                                                 |          2 |         88 |          0 |          7 |         95 |
| contexts                                                                                                                                                                                             |          3 |         71 |        523 |         13 |        607 |
| features                                                                                                                                                                                             |         14 |      1,859 |         51 |        181 |      2,091 |
| features\app                                                                                                                                                                                         |          2 |        852 |         10 |         36 |        898 |
| features\auth                                                                                                                                                                                        |          2 |        104 |          4 |         15 |        123 |
| features\document                                                                                                                                                                                    |          2 |        322 |         10 |         36 |        368 |
| features\favorites                                                                                                                                                                                   |          2 |         60 |          3 |         12 |         75 |
| features\settings                                                                                                                                                                                    |          2 |         98 |          4 |         14 |        116 |
| features\template                                                                                                                                                                                    |          2 |        192 |          6 |         32 |        230 |
| features\workflow                                                                                                                                                                                    |          2 |        231 |         14 |         36 |        281 |
| hooks                                                                                                                                                                                                |          7 |        199 |         42 |         61 |        302 |
| httpCommon                                                                                                                                                                                           |          1 |         36 |          0 |         14 |         50 |
| layouts                                                                                                                                                                                              |          5 |        639 |         14 |         69 |        722 |
| layouts (Files)                                                                                                                                                                                      |          1 |          5 |          0 |          3 |          8 |
| layouts\WorkflowLayout                                                                                                                                                                               |          3 |        603 |         13 |         60 |        676 |
| layouts\collapse                                                                                                                                                                                     |          1 |         31 |          1 |          6 |         38 |
| pages                                                                                                                                                                                                |         61 |      4,098 |        401 |        474 |      4,973 |
| pages (Files)                                                                                                                                                                                        |          1 |          5 |          0 |          4 |          9 |
| pages\App                                                                                                                                                                                            |          3 |        588 |         88 |         48 |        724 |
| pages\ConstructionPage                                                                                                                                                                               |          2 |         36 |          0 |          7 |         43 |
| pages\Documents                                                                                                                                                                                      |         15 |        268 |         34 |         48 |        350 |
| pages\Documents\AllDocumentsPage                                                                                                                                                                     |          3 |        240 |         14 |         23 |        277 |
| pages\Documents\Documents                                                                                                                                                                            |          2 |          0 |         10 |          5 |         15 |
| pages\Documents\DraftsDoc                                                                                                                                                                            |          2 |          0 |         10 |          4 |         14 |
| pages\Documents\NewDocumentPage                                                                                                                                                                      |          2 |          7 |          0 |          4 |         11 |
| pages\Documents\ProcessDocumentsPage                                                                                                                                                                 |          2 |          7 |          0 |          4 |         11 |
| pages\Documents\RejectedDocuments                                                                                                                                                                    |          2 |          7 |          0 |          4 |         11 |
| pages\Documents\SignDocumentPage                                                                                                                                                                     |          2 |          7 |          0 |          4 |         11 |
| pages\Folders                                                                                                                                                                                        |          5 |      1,019 |         27 |        104 |      1,150 |
| pages\Folders (Files)                                                                                                                                                                                |          2 |        114 |          3 |         16 |        133 |
| pages\Folders\modals                                                                                                                                                                                 |          3 |        905 |         24 |         88 |      1,017 |
| pages\Landing                                                                                                                                                                                        |          2 |         56 |        176 |          9 |        241 |
| pages\Notifications                                                                                                                                                                                  |          2 |          7 |          0 |          4 |         11 |
| pages\Processes                                                                                                                                                                                      |          1 |        303 |          0 |         18 |        321 |
| pages\Processes\AllProccessPage                                                                                                                                                                      |          1 |        303 |          0 |         18 |        321 |
| pages\Search                                                                                                                                                                                         |          4 |      1,137 |         63 |        116 |      1,316 |
| pages\Templates                                                                                                                                                                                      |         12 |        322 |          6 |         52 |        380 |
| pages\Templates\AllTemplatesPage                                                                                                                                                                     |          2 |        174 |          6 |         16 |        196 |
| pages\Templates\ApproveTemplatesPage                                                                                                                                                                 |          2 |          7 |          0 |          3 |         10 |
| pages\Templates\CreateTemplatePage                                                                                                                                                                   |          2 |        122 |          0 |         22 |        144 |
| pages\Templates\CretedByMeTemp                                                                                                                                                                       |          1 |          4 |          0 |          2 |          6 |
| pages\Templates\NewTemplate                                                                                                                                                                          |          1 |          4 |          0 |          2 |          6 |
| pages\Templates\RejectedTemplatesPage                                                                                                                                                                |          2 |          7 |          0 |          4 |         11 |
| pages\Templates\TempDraft                                                                                                                                                                            |          2 |          4 |          0 |          3 |          7 |
| pages\Verification                                                                                                                                                                                   |          2 |        188 |          3 |         31 |        222 |
| pages\Workflows                                                                                                                                                                                      |         12 |        169 |          4 |         33 |        206 |
| pages\Workflows\AllWorkflowsPage                                                                                                                                                                     |          2 |        140 |          4 |         15 |        159 |
| pages\Workflows\ApproveWorkflowPage                                                                                                                                                                  |          2 |          7 |          0 |          4 |         11 |
| pages\Workflows\CreateNewWorkflowPage                                                                                                                                                                |          2 |          7 |          0 |          4 |         11 |
| pages\Workflows\DraftF                                                                                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| pages\Workflows\NewWorkflow                                                                                                                                                                          |          1 |          4 |          0 |          2 |          6 |
| pages\Workflows\RejectedWorkflowsPage                                                                                                                                                                |          2 |          7 |          0 |          4 |         11 |
| pages\Workflows\ToBeApproved                                                                                                                                                                         |          2 |          0 |          0 |          2 |          2 |
| services                                                                                                                                                                                             |         17 |        351 |         20 |        110 |        481 |
| utils                                                                                                                                                                                                |          5 |        341 |         27 |         27 |        395 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.css                                                                                                                  | CSS            |          3 |          0 |          1 |          4 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.js                                                                                                                   | JavaScript     |        204 |         46 |         35 |        285 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.test.js                                                                                                              | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Transalationfr.json                                                                                    | JSON           |        308 |          0 |         13 |        321 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\TranslationEn.json                                                                                     | JSON           |        310 |          0 |          5 |        315 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationchi.json                                                                                    | JSON           |        309 |          0 |         22 |        331 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationgr.json                                                                                     | JSON           |        310 |          0 |         20 |        330 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationsp.json                                                                                     | JSON           |        308 |          0 |         19 |        327 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\app\store.js                                                                                                             | JavaScript     |         32 |          0 |          7 |         39 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\assets\README.md                                                                                                         | Markdown       |          4 |          0 |          1 |          5 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Chat\Chat.jsx                                                                                                 | JavaScript JSX |        237 |         19 |         30 |        286 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Chat\Chat.module.css                                                                                          | CSS            |        357 |         16 |         51 |        424 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LanguageSelector\LanguageDropdown.js                                                                          | JavaScript     |         99 |          1 |          7 |        107 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LanguageSelector\LanguageDropdown.module.css                                                                  | CSS            |         61 |          0 |         10 |         71 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LoadingSpinner\LoadingSpinner.js                                                                              | JavaScript     |          9 |          0 |          4 |         13 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LoadingSpinner\style.css                                                                                      | CSS            |         17 |          0 |          1 |         18 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Popup\Popup.jsx                                                                                               | JavaScript JSX |         54 |          9 |         19 |         82 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Popup\Popup.module.css                                                                                        | CSS            |         78 |          0 |          8 |         86 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\README.md                                                                                                     | Markdown       |          5 |          0 |          3 |          8 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\TestComponent\TestComponent.js                                                                                | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\TestComponent\style.css                                                                                       | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\apiKeyFailureModal\ApiKeyFailureModal.jsx                                                                     | JavaScript JSX |         23 |          0 |          4 |         27 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\apiKeyFailureModal\styles.module.css                                                                          | CSS            |         27 |          0 |          4 |         31 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\bookSpinner\BookSpinner.jsx                                                                                   | JavaScript JSX |         22 |          4 |          3 |         29 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\bookSpinner\bookSpinner.module.css                                                                            | CSS            |        335 |          3 |          5 |        343 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\editor\Editor.jsx                                                                                             | JavaScript JSX |         76 |          1 |          7 |         84 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\editor\editor.module.css                                                                                      | CSS            |         80 |          1 |         12 |         93 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\flipMenu\FlipMenu.jsx                                                                                         | JavaScript JSX |        191 |          3 |         18 |        212 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\flipMenu\flipMenu.module.css                                                                                  | CSS            |         71 |          2 |         11 |         84 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\flip\Flip.jsx                                                                                                 | JavaScript JSX |         17 |          0 |          4 |         21 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\flip\flip.module.css                                                                                          | CSS            |         30 |          0 |          5 |         35 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\AddRemoveBtn.jsx                                                                                    | JavaScript JSX |         37 |          0 |          4 |         41 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\HoverCard.jsx                                                                                       | JavaScript JSX |         27 |          0 |          3 |         30 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\documentCard\DocumentCard.jsx                                                                       | JavaScript JSX |        408 |         13 |         38 |        459 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\foldersCard\FoldersCard.jsx                                                                         | JavaScript JSX |        120 |          1 |         17 |        138 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\hoverCard.module.css                                                                                | CSS            |         51 |          3 |          7 |         61 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\processCard\ProcessCard.jsx                                                                         | JavaScript JSX |        258 |         13 |         44 |        315 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\styledComponents.js                                                                                 | JavaScript     |         16 |          0 |          3 |         19 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\templateCard\TemplateCard.jsx                                                                       | JavaScript JSX |        262 |          0 |         23 |        285 |
